Time,X,Y,Z
2.865,-0.001,-0.009,0.009
2.87,-0.005,-0.005,0.008
2.875,-0.008,-0.002,0.008
2.88,-0.006,-0.004,0.009
2.885,-0.002,-0.008,0.006
2.89,0.003,-0.011,0
2.895,0.004,-0.01,-0.005
2.9,0.002,-0.006,-0.005
2.905,-0.001,-0.004,0
2.91,-0.001,-0.005,0.004
2.915,0.001,-0.01,0.004
2.92,0.003,-0.016,0.001
2.925,0.004,-0.019,-0.002
2.93,0.002,-0.018,-0.001
2.935,-0.001,-0.015,0.002
2.94,-0.004,-0.011,0.003
2.945,-0.004,-0.008,0
2.95,-0.003,-0.009,-0.005
2.955,0,-0.012,-0.007
2.96,0.004,-0.015,-0.002
2.965,0.008,-0.017,0.007
2.97,0.01,-0.016,0.01
2.975,0.009,-0.013,0.002
2.98,0.006,-0.012,-0.01
2.985,0.003,-0.014,-0.018
2.99,0.002,-0.018,-0.018
2.995,0.004,-0.022,-0.012
3,0.006,-0.022,-0.006
3.005,0.008,-0.017,-0.004
3.01,0.008,-0.012,-0.006
3.015,0.007,-0.006,-0.009
3.02,0.005,-0.003,-0.011
3.025,0.001,-0.002,-0.011
3.03,-0.003,-0.005,-0.009
3.035,-0.006,-0.01,-0.008
3.04,-0.009,-0.015,-0.007
3.045,-0.009,-0.016,-0.005
3.05,-0.009,-0.013,-0.001
3.055,-0.007,-0.008,0.002
3.06,-0.004,-0.006,0.001
3.065,0.001,-0.01,-0.003
3.07,0.004,-0.017,-0.006
3.075,0.003,-0.021,-0.005
3.08,-0.001,-0.02,0.001
3.085,-0.006,-0.016,0.004
3.09,-0.009,-0.013,0.003
3.095,-0.009,-0.012,-0.002
3.1,-0.007,-0.013,-0.008
3.105,-0.005,-0.013,-0.011
3.11,-0.006,-0.013,-0.012
3.115,-0.007,-0.01,-0.01
3.12,-0.006,-0.006,-0.006
3.125,-0.002,-0.002,-0.003
3.13,0.002,0.002,-0.003
3.135,0.004,0.003,-0.004
3.14,0.005,-0.001,-0.007
3.145,0.005,-0.007,-0.011
3.15,0.004,-0.013,-0.017
3.155,0.001,-0.014,-0.022
3.16,-0.001,-0.011,-0.023
3.165,-0.003,-0.006,-0.02
3.17,-0.004,-0.004,-0.013
3.175,-0.003,-0.007,-0.004
3.18,-0.002,-0.012,0.002
3.185,0,-0.015,0.004
3.19,0.003,-0.012,0.001
3.195,0.009,-0.006,-0.003
3.2,0.015,0.001,-0.007
3.205,0.018,0.003,-0.008
3.21,0.016,0.002,-0.009
3.215,0.008,-0.001,-0.01
3.22,-0.001,-0.003,-0.013
3.225,-0.007,-0.004,-0.012
3.23,-0.007,-0.006,-0.005
3.235,-0.003,-0.009,0.006
3.24,0,-0.011,0.014
3.245,0.001,-0.01,0.011
3.25,0.001,-0.007,0
3.255,0.002,-0.006,-0.012
3.26,0.003,-0.006,-0.018
3.265,0,-0.006,-0.014
3.27,-0.007,-0.005,-0.005
3.275,-0.013,-0.004,0.004
3.28,-0.012,-0.006,0.008
3.285,-0.004,-0.009,0.004
3.29,0.005,-0.012,-0.004
3.295,0.007,-0.012,-0.013
3.3,0.004,-0.01,-0.019
3.305,-0.001,-0.008,-0.02
3.31,-0.001,-0.009,-0.015
3.315,0.002,-0.011,-0.007
3.32,0.004,-0.013,-0.001
3.325,0.001,-0.013,0.001
3.33,-0.002,-0.012,0
3.335,-0.004,-0.013,-0.001
3.34,-0.002,-0.016,-0.001
3.345,0.001,-0.018,-0.003
3.35,0.001,-0.016,-0.008
3.355,0,-0.01,-0.016
3.36,-0.001,-0.003,-0.023
3.365,0.001,0.003,-0.022
3.37,0.004,0.004,-0.012
3.375,0.004,0,0.001
3.38,0,-0.007,0.009
3.385,-0.004,-0.014,0.007
3.39,-0.006,-0.018,-0.002
3.395,-0.004,-0.018,-0.011
3.4,-0.001,-0.014,-0.017
3.405,0,-0.007,-0.016
3.41,0,-0.001,-0.01
3.415,0.001,-0.001,-0.003
3.42,0.002,-0.008,0.003
3.425,0.003,-0.016,0.004
3.43,0.003,-0.017,0
3.435,0.002,-0.011,-0.006
3.44,0.001,-0.002,-0.009
3.445,0.001,0.001,-0.005
3.45,0.002,-0.004,0.001
3.455,0.002,-0.012,0.005
3.46,0,-0.016,0.004
3.465,-0.003,-0.014,0
3.47,-0.004,-0.009,-0.003
3.475,-0.001,-0.007,-0.003
3.48,0.002,-0.01,0
3.485,0.003,-0.014,0.002
3.49,0,-0.015,0.002
3.495,-0.001,-0.012,0.004
3.5,0.002,-0.01,0.008
3.505,0.009,-0.01,0.01
3.51,0.017,-0.013,0.008
3.515,0.019,-0.015,0.001
3.52,0.013,-0.015,-0.007
3.525,0.002,-0.013,-0.01
3.53,-0.006,-0.008,-0.008
3.535,-0.009,-0.001,-0.002
3.54,-0.006,0.005,0.003
3.545,-0.001,0.006,0.007
3.55,0.004,0.001,0.008
3.555,0.007,-0.008,0.008
3.56,0.008,-0.013,0.008
3.565,0.006,-0.011,0.007
3.57,0.003,-0.005,0.005
3.575,0.002,-0.001,0.001
3.58,0.006,-0.002,-0.003
3.585,0.013,-0.007,-0.003
3.59,0.02,-0.013,0.001
3.595,0.021,-0.014,0.005
3.6,0.016,-0.011,0.006
3.605,0.011,-0.006,0.004
3.61,0.01,-0.005,0
3.615,0.012,-0.008,-0.001
